stem,variant,system,dataset,sample_i,cta_active_pct
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,86,45.875200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,87,45.113600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,88,44.953600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,89,46.240000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,90,52.384000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,91,50.278400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,92,48.288000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,93,46.489600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,94,55.251200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,95,48.537600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,96,49.721600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,97,43.270400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,98,35.840000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,99,49.721600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,100,52.486400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,101,60.780800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,102,51.916800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,103,46.796800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,104,59.756800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,105,66.048000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,106,52.691200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,107,45.260800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,108,51.974400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,109,39.628800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,110,49.868800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,111,48.844800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,112,52.076800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,113,47.104000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,114,40.448000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,115,42.700800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,116,53.964800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,117,49.312000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,118,45.260800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,119,43.929600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,120,46.796800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,121,47.513600
