stem,variant,system,dataset,sample_id,hop,wait_us,compute_us
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,32,260.096000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,33,250.880000,50.176000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,34,275.456000,43.008000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,35,220.160000,43.008000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,36,224.256000,47.104000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,37,238.592000,39.936000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,38,175.104000,41.984000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,39,234.496000,40.960000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,40,214.016000,41.984000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,41,226.304000,38.912000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,42,284.672000,44.032000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,43,197.632000,37.888000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,44,207.872000,41.984000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,45,232.448000,41.984000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,46,262.144000,47.104000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,47,228.352000,44.032000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,48,162.816000,36.864000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,0,478.208000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,1,251.904000,47.104000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,2,390.144000,40.960000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,3,375.808000,44.032000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,4,336.896000,50.176000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,5,107.520000,49.152000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,6,258.048000,48.128000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,7,257.024000,40.960000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,8,155.648000,32.768000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,52631,9,266.240000,46.080000
